"Product.ID","Product.Category","Buyer.Gender","Buyer.Age","International.Shipping","Sales.Price","Shipping.Charges","Sales.per.Unit","Quantity","Total.Sales","Rating"
1,1,2,30,1,100,0,100,1,100,"4"
1,1,2,32,1,100,0,100,1,100,"3"
2,3,1,26,2,9,40,49,1,49,"2"
2,3,2,28,1,9,0,9,2,18,"3"
3,3,1,19,1,10,0,10,3,30,"5"
4,1,2,29,2,118,100,218,1,218,"1"
5,2,2,32,1,32,0,32,3,96,"4"
5,2,2,26,1,32,0,32,2,64,"3"
3,3,1,26,1,10,0,10,1,10,"4"
6,1,2,20,2,65,100,165,1,165,"4"
4,1,1,34,2,118,25,143,1,143,"5"
6,1,2,21,1,65,0,65,1,65,"1"
4,1,2,29,1,118,0,118,3,354,"5"
7,1,2,26,1,130,0,130,2,260,"2"
5,2,2,24,2,32,25,57,2,114,"3"
8,1,2,34,2,97,50,147,1,147,"5"
9,2,1,31,1,15,0,15,3,45,"2"
6,1,2,32,1,65,0,65,1,65,"5"
3,3,1,25,1,10,0,10,1,10,"5"
6,1,2,20,2,65,40,105,2,210,"2"
8,1,2,23,1,97,0,97,1,97,"1"
6,1,2,26,1,65,0,65,1,65,"4"
3,3,1,18,1,10,0,10,2,20,"3"
4,1,1,19,1,118,0,118,3,354,"1"
8,1,2,19,1,97,0,97,4,388,"3"
3,3,2,32,2,10,40,50,2,100,"1"
9,2,2,28,1,15,0,15,1,15,"5"
1,1,2,22,2,100,100,200,3,600,"5"
8,1,2,20,2,97,40,137,1,137,"4"
6,1,2,30,2,65,40,105,4,420,"1"
3,3,1,22,1,10,0,10,4,40,"5"
2,3,2,31,1,9,0,9,1,9,"4"
5,2,2,22,1,32,0,32,3,96,"5"
6,1,2,25,1,65,0,65,1,65,"2"
6,1,1,22,2,65,40,105,1,105,"4"
3,3,2,29,2,10,40,50,1,50,"5"
5,2,2,22,1,32,0,32,1,32,"5"
2,3,2,32,1,9,0,9,1,9,"4"
5,2,2,31,2,32,40,72,5,360,"5"
2,3,1,21,1,9,0,9,1,9,"2"
3,3,1,18,1,10,0,10,1,10,"4"
3,3,2,22,1,10,0,10,2,20,"3"
6,1,2,20,1,65,0,65,1,65,"2"
6,1,1,19,2,65,25,90,1,90,"4"
6,1,2,35,1,65,0,65,5,325,"1"
6,1,1,23,2,65,40,105,1,105,"3"
2,3,2,19,2,9,25,34,1,34,"4"
6,1,2,32,2,65,40,105,1,105,"5"
7,1,2,33,1,130,0,130,1,130,"3"
8,1,1,26,1,97,0,97,5,485,"2"
9,2,1,26,2,15,70,85,1,85,"5"
3,3,2,21,2,10,40,50,1,50,"4"
6,1,1,22,2,65,40,105,3,315,"4"
10,2,2,28,2,45,40,85,1,85,"5"
10,2,2,26,1,45,0,45,2,90,"4"
8,1,1,21,1,97,0,97,1,97,"4"
3,3,1,25,1,10,0,10,2,20,"3"
1,1,2,33,1,100,0,100,3,300,"1"
7,1,1,25,1,130,0,130,1,130,"2"
11,2,2,18,2,50,40,90,1,90,"5"
6,1,2,32,1,65,0,65,1,65,"4"
6,1,1,27,2,65,40,105,1,105,"4"
6,1,2,28,2,65,40,105,1,105,"5"
2,3,2,24,1,9,0,9,2,18,"5"
3,3,2,21,2,10,40,50,1,50,"1"
12,2,2,29,1,20,0,20,1,20,"5"
9,2,2,34,1,15,0,15,4,60,"1"
11,2,1,24,2,50,40,90,2,180,"5"
9,2,2,33,1,15,0,15,1,15,"4"
6,1,2,20,1,65,0,65,1,65,"1"
1,1,1,20,1,100,0,100,2,200,"4"
1,1,1,32,2,100,40,140,1,140,"3"
9,2,1,21,2,15,25,40,3,120,"4"
7,1,2,26,1,130,0,130,2,260,"1"
1,1,2,31,1,100,0,100,5,500,"5"
10,2,1,26,2,45,50,95,2,190,"1"
3,3,1,24,1,10,0,10,1,10,"4"
2,3,2,24,1,9,0,9,1,9,"4"
6,1,2,20,1,65,0,65,2,130,"4"
6,1,2,25,1,65,0,65,2,130,"5"
2,3,1,31,1,9,0,9,3,27,"1"
8,1,2,23,1,97,0,97,1,97,"2"
8,1,2,34,1,97,0,97,1,97,"3"
4,1,2,19,1,118,0,118,1,118,"5"
7,1,2,34,1,130,0,130,3,390,"4"
4,1,1,35,1,118,0,118,4,472,"4"
9,2,2,34,1,15,0,15,1,15,"3"
6,1,1,18,1,65,0,65,2,130,"3"
9,2,2,32,1,15,0,15,1,15,"4"
9,2,2,33,1,15,0,15,1,15,"4"
9,2,1,27,2,15,50,65,1,65,"5"
9,2,1,21,1,15,0,15,2,30,"5"
9,2,1,19,1,15,0,15,4,60,"4"
4,1,1,31,1,118,0,118,1,118,"4"
8,1,2,35,1,97,0,97,1,97,"1"
7,1,2,28,1,130,0,130,2,260,"1"
8,1,2,18,2,97,40,137,2,274,"4"
2,3,2,26,2,9,40,49,2,98,"5"
4,1,1,21,2,118,40,158,3,474,"3"
3,3,1,23,1,10,0,10,2,20,"3"
9,2,2,29,1,15,0,15,2,30,"3"
9,2,2,35,1,15,0,15,1,15,"4"
9,2,2,23,1,15,0,15,1,15,"3"
7,1,2,21,1,130,0,130,1,130,"1"
12,2,1,27,1,20,0,20,1,20,"4"
6,1,2,33,1,65,0,65,1,65,"5"
